service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
T22@5,0,0,0,0,0,0,0,20170331,20170630
10.7@2,0,0,0,0,0,1,0,20170331,20170630
10.7@5,0,0,0,0,0,0,0,20170331,20170630
E6011@1,1,1,1,1,1,0,0,20170331,20170630
2441@3,0,0,0,0,0,0,1,20170331,20170630
178@2,0,0,0,0,0,1,0,20170331,20170630
E10@3,0,0,0,0,0,0,1,20170331,20170630
T2A2@3,0,0,0,0,0,0,1,20170331,20170630
178@5,0,0,0,0,0,0,0,20170331,20170630
C80@5,0,0,0,0,0,0,0,20170331,20170630
T2A@2,0,0,0,0,0,1,0,20170331,20170630
T2A@5,0,0,0,0,0,0,0,20170331,20170630
T3@2,0,0,0,0,0,1,0,20170331,20170630
10.41@1,1,1,1,1,1,0,0,20170331,20170630
2821@3,0,0,0,0,0,0,1,20170331,20170630
188@2,0,0,0,0,0,1,0,20170331,20170630
T51@1,1,1,1,1,1,0,0,20170331,20170630
10.52@1,1,1,1,1,1,0,0,20170331,20170630
10.3@3,0,0,0,0,0,0,1,20170331,20170630
C80@2,0,0,0,0,0,1,0,20170331,20170630
10.1@2,0,0,0,0,0,1,0,20170331,20170630
T1D@1,1,1,1,1,1,0,0,20170331,20170630
188@5,0,0,0,0,0,0,0,20170331,20170630
195@1,1,1,1,1,1,0,0,20170331,20170630
20.61@2,0,0,0,0,0,1,0,20170331,20170630
20.61@5,0,0,0,0,0,0,0,20170331,20170630
T1@1,1,1,1,1,1,0,0,20170331,20170630
T11@3,0,0,0,0,0,0,1,20170331,20170630
T9@3,0,0,0,0,0,0,1,20170331,20170630
171@1,1,1,1,1,1,0,0,20170331,20170630
T2@2,0,0,0,0,0,1,0,20170331,20170630
T2@5,0,0,0,0,0,0,0,20170331,20170630
20.2@1,1,1,1,1,1,0,0,20170331,20170630
209@3,0,0,0,0,0,0,1,20170331,20170630
A09@3,0,0,0,0,0,0,1,20170331,20170630
2541@5,0,0,0,0,0,0,0,20170331,20170630
T1@3,0,0,0,0,0,0,1,20170331,20170630
T22@3,0,0,0,0,0,0,1,20170331,20170630
T2A@1,1,1,1,1,1,0,0,20170331,20170630
10.3@2,0,0,0,0,0,1,0,20170331,20170630
