stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
4726,,RUBEM BERTA MARTIM FELIX BERTA,,-30.021297,-51.107397
4709,,RUBEM BERTA MARTIM FELIX BERTA,,-30.024818,-51.107745
1127,,CAMPO NOVO RIO GRANDE,,-30.129657,-51.203984
5676,,CAMPO NOVO RIO GRANDE,,-30.128872,-51.202585
5675,,VILA NOVA RIO GRANDE,,-30.128873,-51.202694
5162,, BORGES DE MEDEIROS,,-30.046497,-51.229224
2667,,SAO JOSE DONA FIRMINA,,-30.07756,-51.168192
2666,,SAO JOSE DONA FIRMINA,,-30.076204,-51.168454
5862,, CRISTIANO KRAEMER,,-30.138312,-51.195254
2683,,SAO JOSE DONA FIRMINA,,-30.073468,-51.168885
2682,,SAO JOSE DONA FIRMINA,,-30.07367,-51.168934
546,, R DR ARMANDO BARBEDO,,-30.11045,-51.250473
5835,,SAO JOSE DONA FIRMINA,,-30.072142,-51.169286
739,, NOVA TRENTO,,-30.109652,-51.245399
795,, DR PEREIRA NETO,,-30.106767,-51.236212
799,, DR MARIO TOTTA,,-30.107287,-51.234226
800,, DR MARIO TOTTA,,-30.107022,-51.233476
735,, DR ARMANDO BARBEDO,,-30.109445,-51.247626
2681,,SAO JOSE DONA FIRMINA,,-30.070528,-51.169449
2685,,SAO JOSE DONA FIRMINA,,-30.069276,-51.169772
2680,,SAO JOSE DONA FIRMINA,,-30.070495,-51.16954
2687,,VILA JOAO PESSOA DONA FIRMINA,,-30.067811,-51.170043
2686,,SÃO JOSE DONA FIRMINA,,-30.068672,-51.169796
2713,,VILA JOAO PESSOA DONA FIRMINA,,-30.065629,-51.170457
2688,,SAO JOSE DONA FIRMINA,,-30.06661,-51.170185
2662,,SAO JOSE BORBOREMA,,-30.073849,-51.169897
2663,,SAO JOSE BORBOREMA,,-30.073711,-51.169906
2714,,SAO JOSE DONA FIRMINA,,-30.064294,-51.17063
2679,,SAO JOSE BORBOREMA,,-30.070789,-51.170458
2678,,SAO JOSE BORBOREMA,,-30.072184,-51.170191
2684,,VILA JOAO PESSOA BORBOREMA,,-30.068134,-51.171233
5993,,SAO JOSE JOAO BOTELHO,,-30.074171,-51.16986
6541,,MONT SERRAT ANITA GARIBALDI,,-30.026251,-51.184505
1024,,NONOAI ODO CAZZULO,,-30.093425,-51.216746
1223,,NONOAI ODO CAZZULO,,-30.092872,-51.215296
2434,,BELEM VELHO DR SARMENTO BARATA,,-30.113649,-51.178493
1224,,NONOAI ODO CAZZULO,,-30.092865,-51.215465
2435,,BELEM VELHO DR SARMENTO BARATA,,-30.113537,-51.177642
1287,,GLORIA PROF CARVALHO FREITAS,,-30.082364,-51.197786
1745,,GLORIA DOM BOSCO,,-30.074577,-51.203171
1283,,TERESOPOLIS PROF CARVALHO FREITAS,,-30.082092,-51.198235
